Группа производителя:|Schneider Electric|000000001||||
Префикс производителя:|SE|||||
Валюта производителя:|643|||||
Дата обновления цены:|13.08.2019|||||
Артикул производителя|Наименование|Тариф с НДС|Ед. изм.|Группа цен поставщика (суб. Линейка)|Срок поставки производителя|Мин. Упаковка
01093|20 САМОКЛ. РУЧЕК ДЛЯ ПЕРЕД. ПАНЕЛЕЙ| 1 825,20    |упак|15PVOPRG|22раб.дн.| 1    
01094|РУЧКА ПЕРЕДНЕЙ ПАНЕЛИ| 2 907,60    |шт|15PVOPRG|22раб.дн.| 1    
01100|КОМПЛ.ДЛЯ УСТАН.БОК.ПАНЕЛЕЙ.PRISMAP,IP30| 3 006,00    |шт|15PVPPRP|22раб.дн.| 1    
01101|КОМПЛЕКТ АКСЕССУАРОВ PRISMA PLUS P| 5 998,80    |шт|15PVPPRP|22раб.дн.| 1    
01103|КОМПЛ.КРЕПЕЖ.ДЕТАЛЕЙ ВЕРХНЕЙ ПАНЕЛИ IP55| 1 777,20    |шт|15PVPPRP|22раб.дн.| 1    
01104|КОМПЛЕКТ ДЛЯ СБОРКИ РАМЫ| 5 838,00    |шт|15PVPPRP|22раб.дн.| 1    
01105|АКСЕССУАРЫ ДЛЯ ДВЕРИ PRISMA PLUS P| 2 012,40    |шт|15PVPPRP|22раб.дн.| 1    
01106|КОМПЛ.АКСЕСС. ДЛЯ ЗАДН.ПАН.PRISMA PLUS P| 1 642,80    |шт|15PVPPRP|22раб.дн.| 1    
01107|КРЕПЕЖ ПОВОРОТНОЙ РАМЫ ПЕР. ПАНЕЛИ| 621,60    |шт|15PVPPRP|22раб.дн.| 1    
01109|12 упоров для шин Linergy| 1 238,40    |упак|15PVOPRG|4раб.дн.| 1    
01120|НИЖНИЙ ГОР. ЭЛЕМЕНТ РАМЫ Ш650| 4 596,00    |шт|15PVPPRP|22раб.дн.| 1    
01123|КОМПЛЕКТ ДЛЯ ПОВОРОТНОЙ РАМЫ 08564-08566| 823,20    |шт|15PVPPRP|22раб.дн.| 1    
01130|КОМПЛЕКТ АКСЕССУАРОВ ДЛЯ LINERGY EVOL.| 12 469,20    |шт|15PVPPRP|22раб.дн.| 1    
01198|КОМПЛЕКТ СОЕДИНЕНИЯ РАМ PRISMA P/PH| 7 464,00    |шт|15PVPPRP|22раб.дн.| 1    
01199|КОМПЛ.ДЛЯ СОЕД. В РЯД PRISMA/PRISMA PLUS| 6 409,20    |шт|15PVPPRP|22раб.дн.| 1    
