~Группа производителя:~|~LEGRAND~|~000000097~||||
~001766~|~Замок и ключ № 850 - для сборных щитков Hypra~|1964,23|~шт~|~ИО~|~3-5раб.дн.~|1
~001902~|~Щиток Plexo³ с DIN рейкой на 2+1M IP65~|1249,07|~шт~|~PDS~|~3-5раб.дн.~|1
~001917~|~Многофункциональный модуль расширения - вертикальный - для двухрядных щитков~|8550,53|~шт~|~PDS~|~30раб.дн.~|1
~001918~|~Многофункциональный модуль расширения - вертикальный - для трехрядных щитков~|11711,05|~шт~|~PDS~|~30раб.дн.~|1
~001955~|~Набор мембран ISO - для щитков Plexo³ - 2-шт ∅32 / 5-шт ∅25 / 10 шт- ∅20~|1727,03|~шт~|~PDS~|~3-5раб.дн.~|1
~001961~|~Набор из 5 заглушек - для Plexo³ - разделяемая - серый R746A~|111,62|~шт~|~PDS~|~3-5раб.дн.~|20
~001962~|~Перфорированная монтажная плата - для щитков Plexo³ на 12 модулей - высота 150 мм~|3640,56|~шт~|~PDS~|~30раб.дн.~|2
~001964~|~Сплошная лицевая панель - для щитков Plexo³ на 12 модулей~|1460,96|~шт~|~PDS~|~30раб.дн.~|2
~001965~|~Сплошная лицевая панель - для щитков Plexo³ на 18 модулей~|1622,88|~шт~|~PDS~|~30раб.дн.~|2
~001966~|~Ключ и замок - N ° 850 - распределительных щитков на 2 или 3 рейки~|2741,78|~шт~|~PDS~|~3-5раб.дн.~|1
~001967~|~Набор для стыковки двух щитков - для щитков Plexo³~|4681,93|~шт~|~PDS~|~3-5раб.дн.~|1
~001968~|~Набор для опломбирования - для щитков Plexo³~|1570,26|~шт~|~PDS~|~30раб.дн.~|1
~001969~|~Петли для настенного монтажа (4 шт)- для щитков Plexo³~|2883,85|~шт~|~PDS~|~3-5раб.дн.~|1
~001970~|~Комплект поворотных шарниров - для щитков Plexo³~|584,92|~шт~|~PDS~|~30раб.дн.~|2
~001971~|~Суппорт для монтажа - Plexo³~|223,56|~шт~|~PDS~|~30раб.дн.~|5
~001972~|~Комплект из 2 суппортов - Plexo³ - для однорядных щитков на 12 и 18 модулей~|410,23|~шт~|~PDS~|~30раб.дн.~|1
~001973~|~Комплект из 2 суппортов - Plexo³ - для щитков от 2 до 4 рядов от 24 до 72 модулей~|478,60|~шт~|~PDS~|~30раб.дн.~|1
~002602~|~Реле для управления освещением - MyHOME - SCS - 4 переключающих контакта - 16 А~|23545,00|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002604~|~SCS DIN активатор реле 8х16A~|44146,88|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002612~|~Scs Din Диммер 1-10в 4х1000ва~|53957,29|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002621~|~Активирующее устройство с функцией светорегулятора - MyHOME - SCS - 1 выход, 1000 Вт~|35317,50|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002622~|~Активирующее устройство с функцией светорегулятора - MyHOME - SCS - 2 выхода по 400 ВА~|41857,78|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002631~|~Интерфейс SCS/DALI - MyHOME - SCS - 8 каналов~|55906,18|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
